2011-12-19 22:59:33 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Library/WebServer/Documents/CadastroCultural/cake/libs/debugger.php, line 694]
2011-12-19 22:59:33 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Library/WebServer/Documents/CadastroCultural/cake/libs/debugger.php, line 698]
2011-12-19 23:03:54 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Library/WebServer/Documents/CadastroCultural/cake/libs/debugger.php, line 698]
2011-12-24 16:27:30 Notice: Notice (8): Undefined variable: group in [/Library/WebServer/Documents/CadastroCultural/app/views/users/login.ctp, line 1]
2011-12-24 16:27:30 Notice: Notice (8): Undefined variable: group in [/Library/WebServer/Documents/CadastroCultural/app/views/users/login.ctp, line 3]
2011-12-24 16:29:00 Notice: Notice (8): Undefined variable: group in [/Library/WebServer/Documents/CadastroCultural/app/views/users/login.ctp, line 1]
2011-12-24 16:29:00 Notice: Notice (8): Undefined variable: group in [/Library/WebServer/Documents/CadastroCultural/app/views/users/login.ctp, line 3]
2011-12-24 16:51:46 Notice: Notice (8): Undefined property: GroupsController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/groups_controller.php, line 42]
2011-12-24 17:00:31 Notice: Notice (8): Undefined property: GroupsController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/groups_controller.php, line 42]
2011-12-24 17:00:47 Notice: Notice (8): Undefined index: name in [/Library/WebServer/Documents/CadastroCultural/app/views/group/index.ctp, line 19]
2011-12-24 17:01:26 Notice: Notice (8): Undefined property: GroupsController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/groups_controller.php, line 42]
2011-12-24 17:01:56 Notice: Notice (8): Undefined property: GroupsController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/groups_controller.php, line 42]
2011-12-24 17:03:10 Notice: Notice (8): Undefined property: GroupsController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/groups_controller.php, line 54]
2011-12-24 17:04:57 Notice: Notice (8): Undefined property: GroupsController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/groups_controller.php, line 42]
2011-12-24 17:52:33 Notice: Notice (8): Undefined variable: grupos in [/Library/WebServer/Documents/CadastroCultural/app/views/users/add.ctp, line 7]
2011-12-24 17:59:47 Notice: Notice (8): Undefined variable: grupos in [/Library/WebServer/Documents/CadastroCultural/app/views/users/add.ctp, line 7]
2011-12-24 18:00:54 Notice: Notice (8): Undefined variable: grupos in [/Library/WebServer/Documents/CadastroCultural/app/views/users/add.ctp, line 7]
2011-12-24 18:01:31 Notice: Notice (8): Undefined variable: grupos in [/Library/WebServer/Documents/CadastroCultural/app/views/users/add.ctp, line 7]
2011-12-24 18:09:29 Notice: Notice (8): Undefined property: UsersController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/users_controller.php, line 46]
2011-12-24 18:12:06 Notice: Notice (8): Undefined variable: grupos in [/Library/WebServer/Documents/CadastroCultural/app/views/users/add.ctp, line 7]
2011-12-24 18:12:46 Notice: Notice (8): Undefined property: UsersController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/users_controller.php, line 46]
2011-12-24 18:20:31 Notice: Notice (8): Undefined property: GroupsController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/groups_controller.php, line 42]
2011-12-24 18:22:06 Notice: Notice (8): Undefined property: UsersController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/users_controller.php, line 46]
2011-12-24 19:53:55 Notice: Notice (8): Undefined property: GroupsController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/groups_controller.php, line 45]
2011-12-24 19:54:30 Notice: Notice (8): Undefined property: UsersController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/users_controller.php, line 46]
2011-12-24 22:30:52 Notice: Notice (8): Undefined property: UsersController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/users_controller.php, line 46]
2011-12-24 22:43:15 Notice: Notice (8): Undefined property: UsersController::$Session in [/Library/WebServer/Documents/CadastroCultural/app/controllers/users_controller.php, line 95]
